"Date","Price","Open","High","Low","Change %"
"Jul 08, 2015","57.4966","56.7309","57.6143","56.7309","1.35"
"Jul 07, 2015","56.7309","56.8816","57.6765","56.4615","-0.26"
"Jul 06, 2015","56.8816","55.9773","56.9047","55.9773","1.62"
"Jul 03, 2015","55.9773","55.5334","55.9892","55.4387","0.80"
"Jul 02, 2015","55.5334","55.8397","55.9024","55.3260","-0.55"
"Jul 01, 2015","55.8397","55.2806","55.8450","55.2704","1.01"
"Jun 30, 2015","55.2806","55.7448","55.9614","54.9901","-0.83"
"Jun 29, 2015","55.7448","54.8060","55.7520","54.8060","1.71"
"Jun 26, 2015","54.8060","54.7160","55.3008","54.7072","0.16"
"Jun 25, 2015","54.7160","54.4662","54.9051","54.4662","0.46"
"Jun 24, 2015","54.4662","53.8511","54.6834","53.6866","1.14"
"Jun 23, 2015","53.8511","53.9301","54.6540","53.7952","-0.15"
"Jun 22, 2015","53.9301","54.0064","54.0840","53.3797","-0.14"
"Jun 19, 2015","54.0064","53.4641","54.5398","53.4318","1.01"
"Jun 18, 2015","53.4641","53.6084","53.8667","53.0322","-0.27"
"Jun 17, 2015","53.6084","53.7588","54.3192","53.5685","-0.28"
"Jun 16, 2015","53.7588","54.5077","54.5077","53.5060","-1.37"
"Jun 15, 2015","54.5077","54.7913","55.5472","54.3634","-1.24"
"Jun 12, 2015","55.1910","55.0960","55.4210","55.0000","0.73"
"Jun 11, 2015","54.7913","54.3462","54.9117","54.2326","0.82"
"Jun 10, 2015","54.3462","55.5456","55.5456","53.8349","-2.16"
"Jun 09, 2015","55.5456","55.9969","56.0968","55.5450","-0.81"
"Jun 08, 2015","55.9969","56.2446","56.3661","55.6561","-0.44"
"Jun 05, 2015","56.2446","56.4487","56.2446","56.2446","-0.36"
"Jun 04, 2015","56.4487","54.2938","56.4487","56.4487","3.97"
"Jun 03, 2015","54.2938","52.8647","54.2938","54.2938","2.70"
"Jun 02, 2015","52.8647","52.8069","52.8647","52.8647","-1.41"
"Jun 01, 2015","53.6187","52.3212","53.6187","53.6187","2.48"
"May 29, 2015","52.3212","52.5899","52.3212","52.3212","-0.51"
"May 28, 2015","52.5899","51.9873","52.5899","52.5899","1.16"
"May 27, 2015","51.9873","50.9499","51.9873","51.9873","2.04"
"May 26, 2015","50.9499","49.9733","50.9499","50.9499","1.95"
"May 25, 2015","49.9733","49.9817","49.9733","49.9733","-0.02"
"May 22, 2015","49.9817","49.9847","49.9817","49.9817","-0.01"
"May 21, 2015","49.9847","49.7284","49.9847","49.9847","0.52"
"May 20, 2015","49.7284","49.5371","49.7284","49.7284","0.39"
"May 19, 2015","49.5371","49.0687","49.5371","49.5371","0.95"
"May 18, 2015","49.0687","49.5628","49.0687","49.0687","-1.00"
"May 15, 2015","49.5628","50.1220","49.5628","49.5628","-1.12"
"May 14, 2015","50.1220","49.2576","50.1220","50.1220","1.75"
"May 13, 2015","49.2576","49.9501","49.2576","49.2576","-1.39"
"May 12, 2015","49.9501","51.0377","49.9501","49.9501","-2.53"
"May 11, 2015","51.2460","50.4140","51.7860","50.4140","0.41"
"May 08, 2015","51.0377","50.3321","51.0377","51.0377","1.40"
"May 07, 2015","50.3321","51.0011","50.3321","50.3321","-1.31"
"May 06, 2015","51.0011","50.4491","51.0011","51.0011","1.09"
"May 05, 2015","50.4491","51.6513","50.4491","50.4491","-3.19"
"May 04, 2015","52.1110","51.7330","52.3310","51.1200","0.61"
"May 01, 2015","51.7960","51.6930","51.9660","51.1700","0.28"
"Apr 30, 2015","51.6513","51.0402","51.6513","51.6513","1.20"
"Apr 29, 2015","51.0402","51.5342","51.0402","51.0402","-0.96"
"Apr 28, 2015","51.5342","51.9876","51.5342","51.5342","-0.87"
"Apr 27, 2015","51.9876","50.9084","51.9876","51.9876","2.12"
"Apr 24, 2015","50.9084","50.7827","50.9084","50.9084","0.25"
"Apr 23, 2015","50.7827","52.2144","50.7827","50.7827","-2.74"
"Apr 22, 2015","52.2144","53.7634","52.2144","52.2144","-2.88"
"Apr 21, 2015","53.7634","53.3222","53.7634","53.7634","0.83"
"Apr 20, 2015","53.3222","51.8821","53.3222","53.3222","2.78"
"Apr 17, 2015","51.8821","49.7995","51.8821","51.8821","4.18"
"Apr 16, 2015","49.7995","49.7024","49.7995","49.7995","0.20"
"Apr 15, 2015","49.7024","50.8833","49.7024","49.7024","-2.32"
"Apr 14, 2015","50.8833","52.0423","50.8833","50.8833","-2.23"
"Apr 13, 2015","52.0423","53.6162","52.0423","52.0423","-2.94"
"Apr 10, 2015","53.6162","51.8875","53.6162","53.6162","3.33"
"Apr 09, 2015","51.8875","53.6005","51.8875","51.8875","-3.20"
"Apr 08, 2015","53.6005","55.0283","53.6005","53.6005","-2.59"
"Apr 07, 2015","55.0283","55.4838","55.0283","55.0283","-0.82"
"Apr 06, 2015","55.4838","56.6100","55.4838","55.4838","-1.99"
